Filename,ElementID,ElementType,id,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
IfcBeam1.ifc,1,IfcBeam,"<bound method entity_instance.id of #1=IfcBeam('2OrWItJ6zAwBNp0OUxK_l8',#2,'M_W-Wide Flange:W310X60:W310X60:207325',$,'M_W-Wide Flange:W310X60:208816',#3,#4,'207325')>",2OrWItJ6zAwBNp0OUxK_l8,IfcOwnerHistory,M_W-Wide Flange:W310X60:W310X60:207325,,M_W-Wide Flange:W310X60:208816,IfcLocalPlacement,IfcProductDefinitionShape,207325,
IfcBeam2.ifc,1,IfcBeam,"<bound method entity_instance.id of #1=IfcBeam('2OrWItJ6zAwBNp0OUxK$8W',#2,'M_W-Wide Flange:W410X60:W410X60:208949',$,'M_W-Wide Flange:W410X60:208814',#3,#4,'208949')>",2OrWItJ6zAwBNp0OUxK$8W,IfcOwnerHistory,M_W-Wide Flange:W410X60:W410X60:208949,,M_W-Wide Flange:W410X60:208814,IfcLocalPlacement,IfcProductDefinitionShape,208949,
IfcBeam3.ifc,1,IfcBeam,"<bound method entity_instance.id of #1=IfcBeam('2OrWItJ6zAwBNp0OUxK$Bq',#2,'M_W-Wide Flange:W410X60:W410X60:209121',$,'M_W-Wide Flange:W410X60:208814',#3,#4,'209121')>",2OrWItJ6zAwBNp0OUxK$Bq,IfcOwnerHistory,M_W-Wide Flange:W410X60:W410X60:209121,,M_W-Wide Flange:W410X60:208814,IfcLocalPlacement,IfcProductDefinitionShape,209121,
IfcBeam4.ifc,1,IfcBeam,"<bound method entity_instance.id of #1=IfcBeam('2OrWItJ6zAwBNp0OUxK$CR',#2,'M_W-Wide Flange:W410X60:W410X60:209166',$,'M_W-Wide Flange:W410X60:208814',#3,#4,'209166')>",2OrWItJ6zAwBNp0OUxK$CR,IfcOwnerHistory,M_W-Wide Flange:W410X60:W410X60:209166,,M_W-Wide Flange:W410X60:208814,IfcLocalPlacement,IfcProductDefinitionShape,209166,
IfcBeam5.ifc,1,IfcBeam,"<bound method entity_instance.id of #1=IfcBeam('2OrWItJ6zAwBNp0OUxK$Dv',#2,'M_W-Wide Flange:W310X60:W310X60:209260',$,'M_W-Wide Flange:W310X60:208816',#3,#4,'209260')>",2OrWItJ6zAwBNp0OUxK$Dv,IfcOwnerHistory,M_W-Wide Flange:W310X60:W310X60:209260,,M_W-Wide Flange:W310X60:208816,IfcLocalPlacement,IfcProductDefinitionShape,209260,
IfcBeam6.ifc,1,IfcBeam,"<bound method entity_instance.id of #1=IfcBeam('2OrWItJ6zAwBNp0OUxK$Du',#2,'M_W-Wide Flange:W410X60:W410X60:209261',$,'M_W-Wide Flange:W410X60:208814',#3,#4,'209261')>",2OrWItJ6zAwBNp0OUxK$Du,IfcOwnerHistory,M_W-Wide Flange:W410X60:W410X60:209261,,M_W-Wide Flange:W410X60:208814,IfcLocalPlacement,IfcProductDefinitionShape,209261,
IfcBeam7.ifc,1,IfcBeam,"<bound method entity_instance.id of #1=IfcBeam('2OrWItJ6zAwBNp0OUxK$Dx',#2,'M_W-Wide Flange:W410X60:W410X60:209262',$,'M_W-Wide Flange:W410X60:208814',#3,#4,'209262')>",2OrWItJ6zAwBNp0OUxK$Dx,IfcOwnerHistory,M_W-Wide Flange:W410X60:W410X60:209262,,M_W-Wide Flange:W410X60:208814,IfcLocalPlacement,IfcProductDefinitionShape,209262,
IfcBeam8.ifc,1,IfcBeam,"<bound method entity_instance.id of #1=IfcBeam('2OrWItJ6zAwBNp0OUxK$Dw',#2,'M_W-Wide Flange:W410X60:W410X60:209263',$,'M_W-Wide Flange:W410X60:208814',#3,#4,'209263')>",2OrWItJ6zAwBNp0OUxK$Dw,IfcOwnerHistory,M_W-Wide Flange:W410X60:W410X60:209263,,M_W-Wide Flange:W410X60:208814,IfcLocalPlacement,IfcProductDefinitionShape,209263,
IfcFooting1.ifc,1,IfcFooting,"<bound method entity_instance.id of #1=IfcFooting('0kF45Qs8L9PAM9kmb1lT5d',#2,'Wall Foundation:Bearing Footing - 900 x 300:186596',$,'Wall Foundation:Bearing Footing - 900 x 300',#3,#4,'186596',.STRIP_FOOTING.)>",0kF45Qs8L9PAM9kmb1lT5d,IfcOwnerHistory,Wall Foundation:Bearing Footing - 900 x 300:186596,,Wall Foundation:Bearing Footing - 900 x 300,IfcLocalPlacement,IfcProductDefinitionShape,186596,STRIP_FOOTING
IfcFooting2.ifc,1,IfcFooting,"<bound method entity_instance.id of #1=IfcFooting('0kF45Qs8L9PAM9kmb1lT5l',#2,'Wall Foundation:Bearing Footing - 900 x 300:186604',$,'Wall Foundation:Bearing Footing - 900 x 300',#3,#4,'186604',.STRIP_FOOTING.)>",0kF45Qs8L9PAM9kmb1lT5l,IfcOwnerHistory,Wall Foundation:Bearing Footing - 900 x 300:186604,,Wall Foundation:Bearing Footing - 900 x 300,IfcLocalPlacement,IfcProductDefinitionShape,186604,STRIP_FOOTING
